trip_id,date,city,station_start,rider_type,bike_type,duration_min,weather,temperature_c
1,2026-01-01,Coimbatore,COI-02,Member,Electric,14,Clear,22.7
2,2026-01-01,Coimbatore,COI-02,Member,Classic,9,Clear,22.7
3,2026-01-01,Coimbatore,COI-11,Member,Classic,21,Clear,22.7
4,2026-01-01,Chennai,CHE-03,Casual,Classic,33,Clear,26.5
5,2026-01-01,Chennai,CHE-06,Member,Classic,24,Clear,26.5
6,2026-01-01,Chennai,CHE-06,Member,Classic,27,Clear,26.5
7,2026-01-01,Chennai,CHE-09,Casual,Electric,37,Clear,26.5
8,2026-01-01,Chennai,CHE-02,Member,Electric,11,Clear,26.5
9,2026-01-01,Chennai,CHE-10,Member,Electric,11,Clear,26.5
10,2026-01-01,Bengaluru,BEN-02,Member,Classic,12,Cloudy,21.3
11,2026-01-01,Bengaluru,BEN-06,Casual,Electric,26,Cloudy,21.3
12,2026-01-01,Bengaluru,BEN-11,Member,Classic,21,Cloudy,21.3
13,2026-01-01,Bengaluru,BEN-03,Member,Electric,14,Cloudy,21.3
14,2026-01-01,Bengaluru,BEN-08,Member,Classic,13,Cloudy,21.3
15,2026-01-02,Coimbatore,COI-01,Member,Classic,15,Clear,26.7
16,2026-01-02,Coimbatore,COI-06,Member,Classic,25,Clear,26.7
17,2026-01-02,Coimbatore,COI-12,Member,Classic,23,Clear,26.7
18,2026-01-02,Coimbatore,COI-07,Member,Electric,15,Clear,26.7
19,2026-01-02,Coimbatore,COI-12,Casual,Electric,35,Clear,26.7
20,2026-01-02,Coimbatore,COI-10,Member,Classic,20,Clear,26.7
21,2026-01-02,Chennai,CHE-01,Member,Electric,10,Rain,25.5
22,2026-01-02,Chennai,CHE-03,Casual,Classic,19,Rain,25.5
23,2026-01-02,Chennai,CHE-08,Casual,Classic,24,Rain,25.5
24,2026-01-02,Chennai,CHE-01,Member,Electric,12,Rain,25.5
25,2026-01-02,Chennai,CHE-11,Member,Classic,14,Rain,25.5
26,2026-01-02,Chennai,CHE-03,Member,Classic,8,Rain,25.5
27,2026-01-02,Bengaluru,BEN-02,Casual,Electric,33,Clear,25.5
28,2026-01-02,Bengaluru,BEN-11,Casual,Classic,23,Clear,25.5
29,2026-01-02,Bengaluru,BEN-09,Member,Classic,16,Clear,25.5
30,2026-01-02,Bengaluru,BEN-08,Casual,Classic,35,Clear,25.5
31,2026-01-02,Bengaluru,BEN-05,Member,Electric,24,Clear,25.5
32,2026-01-02,Bengaluru,BEN-10,Member,Classic,12,Clear,25.5
33,2026-01-02,Bengaluru,BEN-09,Casual,Classic,29,Clear,25.5
34,2026-01-03,Coimbatore,COI-10,Casual,Classic,40,Clear,24.1
35,2026-01-03,Coimbatore,COI-04,Casual,Classic,24,Clear,24.1
36,2026-01-03,Coimbatore,COI-11,Casual,Classic,36,Clear,24.1
37,2026-01-03,Coimbatore,COI-04,Casual,Classic,35,Clear,24.1
38,2026-01-03,Coimbatore,COI-09,Member,Classic,22,Clear,24.1
39,2026-01-03,Coimbatore,COI-04,Member,Classic,30,Clear,24.1
40,2026-01-03,Coimbatore,COI-06,Member,Classic,26,Clear,24.1
41,2026-01-03,Chennai,CHE-10,Casual,Classic,37,Clear,24.9
42,2026-01-03,Chennai,CHE-07,Casual,Electric,20,Clear,24.9
43,2026-01-03,Chennai,CHE-08,Member,Classic,17,Clear,24.9
44,2026-01-03,Chennai,CHE-11,Casual,Classic,44,Clear,24.9
45,2026-01-03,Chennai,CHE-02,Casual,Classic,33,Clear,24.9
46,2026-01-03,Chennai,CHE-08,Member,Classic,25,Clear,24.9
47,2026-01-03,Bengaluru,BEN-09,Member,Electric,12,Clear,22.9
48,2026-01-03,Bengaluru,BEN-09,Member,Electric,26,Clear,22.9
49,2026-01-03,Bengaluru,BEN-03,Casual,Electric,57,Clear,22.9
50,2026-01-03,Bengaluru,BEN-07,Casual,Classic,31,Clear,22.9
51,2026-01-03,Bengaluru,BEN-08,Casual,Classic,50,Clear,22.9
52,2026-01-03,Bengaluru,BEN-12,Member,Electric,23,Clear,22.9
53,2026-01-03,Bengaluru,BEN-05,Casual,Classic,39,Clear,22.9
54,2026-01-03,Bengaluru,BEN-12,Member,Classic,19,Clear,22.9
55,2026-01-04,Coimbatore,COI-09,Casual,Classic,44,Cloudy,21.7
56,2026-01-04,Coimbatore,COI-10,Member,Classic,20,Cloudy,21.7
57,2026-01-04,Coimbatore,COI-10,Member,Electric,11,Cloudy,21.7
58,2026-01-04,Coimbatore,COI-10,Member,Classic,30,Cloudy,21.7
59,2026-01-04,Coimbatore,COI-05,Member,Electric,18,Cloudy,21.7
60,2026-01-04,Coimbatore,COI-04,Member,Electric,21,Cloudy,21.7
61,2026-01-04,Chennai,CHE-08,Member,Classic,23,Clear,27.4
62,2026-01-04,Chennai,CHE-02,Casual,Classic,36,Clear,27.4
63,2026-01-04,Chennai,CHE-02,Member,Classic,21,Clear,27.4
64,2026-01-04,Chennai,CHE-03,Casual,Classic,63,Clear,27.4
65,2026-01-04,Chennai,CHE-11,Casual,Classic,31,Clear,27.4
66,2026-01-04,Chennai,CHE-09,Casual,Electric,67,Clear,27.4
67,2026-01-04,Chennai,CHE-02,Member,Electric,25,Clear,27.4
68,2026-01-04,Chennai,CHE-03,Casual,Electric,38,Clear,27.4
69,2026-01-04,Bengaluru,BEN-05,Member,Electric,27,Clear,22.7
70,2026-01-04,Bengaluru,BEN-02,Casual,Electric,31,Clear,22.7
71,2026-01-04,Bengaluru,BEN-03,Casual,Electric,49,Clear,22.7
72,2026-01-04,Bengaluru,BEN-12,Casual,Classic,42,Clear,22.7
73,2026-01-04,Bengaluru,BEN-12,Casual,Electric,35,Clear,22.7
74,2026-01-04,Bengaluru,BEN-06,Casual,Classic,38,Clear,22.7
75,2026-01-04,Bengaluru,BEN-01,Casual,Classic,46,Clear,22.7
76,2026-01-04,Bengaluru,BEN-04,Casual,Classic,46,Clear,22.7
77,2026-01-04,Bengaluru,BEN-10,Casual,Classic,21,Clear,22.7
78,2026-01-05,Coimbatore,COI-03,Member,Electric,9,Rain,23.0
79,2026-01-05,Coimbatore,COI-07,Casual,Classic,19,Rain,23.0
80,2026-01-05,Coimbatore,COI-04,Casual,Electric,15,Rain,23.0
81,2026-01-05,Coimbatore,COI-08,Member,Electric,15,Rain,23.0
82,2026-01-05,Chennai,CHE-04,Member,Electric,24,Clear,29.0
83,2026-01-05,Chennai,CHE-02,Member,Electric,15,Clear,29.0
84,2026-01-05,Chennai,CHE-11,Casual,Classic,36,Clear,29.0
85,2026-01-05,Chennai,CHE-01,Member,Electric,20,Clear,29.0
86,2026-01-05,Bengaluru,BEN-01,Member,Electric,9,Rain,23.1
87,2026-01-05,Bengaluru,BEN-10,Member,Classic,10,Rain,23.1
88,2026-01-05,Bengaluru,BEN-10,Casual,Classic,15,Rain,23.1
89,2026-01-05,Bengaluru,BEN-09,Member,Classic,8,Rain,23.1
90,2026-01-06,Coimbatore,COI-06,Member,Classic,20,Clear,22.1
91,2026-01-06,Coimbatore,COI-11,Member,Classic,22,Clear,22.1
92,2026-01-06,Coimbatore,COI-05,Member,Classic,15,Clear,22.1
93,2026-01-06,Coimbatore,COI-12,Member,Classic,16,Clear,22.1
94,2026-01-06,Chennai,CHE-05,Member,Classic,14,Cloudy,25.5
95,2026-01-06,Chennai,CHE-08,Member,Electric,15,Cloudy,25.5
96,2026-01-06,Chennai,CHE-08,Member,Classic,16,Cloudy,25.5
97,2026-01-06,Chennai,CHE-05,Casual,Electric,31,Cloudy,25.5
98,2026-01-06,Bengaluru,BEN-04,Member,Classic,11,Clear,27.4
99,2026-01-06,Bengaluru,BEN-02,Member,Classic,24,Clear,27.4
100,2026-01-06,Bengaluru,BEN-10,Member,Electric,17,Clear,27.4
101,2026-01-06,Bengaluru,BEN-11,Member,Electric,15,Clear,27.4
102,2026-01-06,Bengaluru,BEN-02,Member,Electric,18,Clear,27.4
103,2026-01-06,Bengaluru,BEN-08,Casual,Classic,36,Clear,27.4
104,2026-01-07,Coimbatore,COI-08,Member,Classic,11,Cloudy,27.3
105,2026-01-07,Coimbatore,COI-08,Member,Electric,9,Cloudy,27.3
106,2026-01-07,Coimbatore,COI-09,Member,Electric,12,Cloudy,27.3
107,2026-01-07,Chennai,CHE-04,Casual,Electric,26,Cloudy,27.1
108,2026-01-07,Chennai,CHE-09,Casual,Classic,33,Cloudy,27.1
109,2026-01-07,Chennai,CHE-04,Member,Classic,11,Cloudy,27.1
110,2026-01-07,Chennai,CHE-09,Member,Classic,21,Cloudy,27.1
111,2026-01-07,Chennai,CHE-04,Member,Classic,16,Cloudy,27.1
112,2026-01-07,Chennai,CHE-09,Member,Classic,20,Cloudy,27.1
113,2026-01-07,Bengaluru,BEN-10,Member,Electric,12,Clear,23.0
114,2026-01-07,Bengaluru,BEN-06,Member,Classic,15,Clear,23.0
115,2026-01-07,Bengaluru,BEN-09,Member,Classic,25,Clear,23.0
116,2026-01-07,Bengaluru,BEN-10,Casual,Classic,22,Clear,23.0
117,2026-01-07,Bengaluru,BEN-07,Casual,Classic,31,Clear,23.0
118,2026-01-07,Bengaluru,BEN-07,Member,Electric,23,Clear,23.0
119,2026-01-07,Bengaluru,BEN-09,Casual,Electric,52,Clear,23.0
120,2026-01-08,Coimbatore,COI-07,Member,Classic,7,Rain,25.5
121,2026-01-08,Coimbatore,COI-04,Member,Classic,13,Rain,25.5
122,2026-01-08,Coimbatore,COI-07,Member,Classic,12,Rain,25.5
123,2026-01-08,Chennai,CHE-06,Member,Classic,24,Cloudy,28.9
124,2026-01-08,Chennai,CHE-11,Member,Classic,19,Cloudy,28.9
125,2026-01-08,Chennai,CHE-10,Member,Classic,18,Cloudy,28.9
126,2026-01-08,Chennai,CHE-11,Member,Classic,27,Cloudy,28.9
127,2026-01-08,Chennai,CHE-06,Member,Electric,15,Cloudy,28.9
128,2026-01-08,Bengaluru,BEN-03,Casual,Electric,33,Cloudy,27.7
129,2026-01-08,Bengaluru,BEN-11,Casual,Classic,39,Cloudy,27.7
130,2026-01-08,Bengaluru,BEN-12,Casual,Classic,33,Cloudy,27.7
131,2026-01-08,Bengaluru,BEN-12,Member,Classic,20,Cloudy,27.7
