Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,State,City,Product Category,Sub-Category,Sales,Profit,Quantity,Discount
ORD-2025-1305,01-01-2025,08-01-2025,Second Class,Home Office,South,Karnataka,Mysuru,Technology,Accessories,2881.47,532.54,3,0
ORD-2024-1253,01-02-2024,05-02-2024,Standard Class,Corporate,North,Uttar Pradesh,Kanpur,Technology,Accessories,13641.55,68.37,9,0.2
ORD-2025-1259,01-02-2025,04-02-2025,First Class,Consumer,East,Assam,Guwahati,Office Supplies,Art,250.15,29.24,6,0.15
ORD-2025-1292,01-02-2025,08-02-2025,First Class,Home Office,West,Goa,Panaji,Electronics,Cameras,1130.77,52.7,12,0.15
ORD-2025-1488,01-02-2025,04-02-2025,Same Day,Consumer,South,Tamil Nadu,Coimbatore,Technology,Copiers,7670.28,-870.83,5,0.3
ORD-2024-1224,01-03-2024,04-03-2024,Second Class,Consumer,East,West Bengal,Kolkata,Electronics,Cameras,3140.52,20.75,3,0.2
ORD-2024-1263,01-03-2024,02-03-2024,First Class,Consumer,South,Karnataka,Mysuru,Technology,Machines,4922.4,1021.09,12,0
ORD-2024-1163,01-04-2024,08-04-2024,Standard Class,Consumer,South,Telangana,Hyderabad,Office Supplies,Binders,1048.75,128.27,9,0.2
ORD-2024-1597,01-04-2024,02-04-2024,First Class,Home Office,West,Goa,Panaji,Furniture,Storage,2103.08,121.87,3,0.1
ORD-2025-1490,01-04-2025,02-04-2025,Standard Class,Home Office,East,West Bengal,Kolkata,Furniture,Bookcases,1956.34,-89.93,3,0.2
ORD-2024-1191,01-06-2024,03-06-2024,First Class,Corporate,West,Gujarat,Ahmedabad,Electronics,Wearables,3027.42,549.54,9,0
ORD-2025-1478,01-06-2025,02-06-2025,First Class,Corporate,East,West Bengal,Siliguri,Office Supplies,Paper,1068.0,259.8,5,0
ORD-2024-1443,01-07-2024,03-07-2024,Second Class,Corporate,East,Bihar,Patna,Furniture,Storage,5048.88,-206.24,10,0.2
ORD-2025-1302,01-07-2025,06-07-2025,Standard Class,Consumer,East,West Bengal,Siliguri,Electronics,Cameras,103.98,-7.19,1,0.2
ORD-2024-1239,01-09-2024,02-09-2024,Standard Class,Corporate,East,Assam,Guwahati,Office Supplies,Labels,454.3,125.09,7,0
ORD-2024-1402,01-09-2024,04-09-2024,Second Class,Home Office,South,Tamil Nadu,Madurai,Electronics,Wearables,10268.64,481.65,11,0.15
ORD-2025-1278,01-09-2025,04-09-2025,Same Day,Home Office,West,Maharashtra,Nagpur,Office Supplies,Paper,700.06,-23.31,12,0.3
ORD-2025-1413,01-09-2025,08-09-2025,Standard Class,Consumer,North,Uttar Pradesh,Kanpur,Furniture,Chairs,2741.09,-390.25,12,0.3
ORD-2025-1480,01-09-2025,03-09-2025,Same Day,Home Office,South,Tamil Nadu,Coimbatore,Electronics,Audio,6204.18,-816.99,7,0.3
ORD-2024-1201,01-10-2024,05-10-2024,First Class,Corporate,South,Kerala,Kochi,Furniture,Bookcases,539.11,4.1,3,0.1
ORD-2024-1599,01-10-2024,06-10-2024,First Class,Home Office,South,Kerala,Thiruvananthapuram,Electronics,Cameras,1294.29,-165.34,2,0.3
ORD-2024-1290,01-11-2024,08-11-2024,First Class,Corporate,North,Delhi,New Delhi,Office Supplies,Art,62.98,20.71,2,0
ORD-2025-1384,01-11-2025,05-11-2025,Second Class,Consumer,North,Delhi,New Delhi,Technology,Phones,2398.98,-51.78,4,0.2
ORD-2024-1034,02-01-2024,07-01-2024,Second Class,Corporate,North,Rajasthan,Jaipur,Furniture,Storage,6040.58,-229.89,9,0.2
ORD-2024-1404,02-02-2024,07-02-2024,First Class,Consumer,North,Punjab,Ludhiana,Office Supplies,Binders,908.49,89.93,7,0.2
ORD-2024-1237,02-03-2024,06-03-2024,Same Day,Corporate,North,Delhi,New Delhi,Furniture,Chairs,4359.7,-261.12,11,0.2
ORD-2024-1262,02-04-2024,03-04-2024,Standard Class,Corporate,South,Kerala,Thiruvananthapuram,Furniture,Chairs,1083.0,132.82,4,0
