Order ID,Order Date,Region,Sales
ORD100540,2024-01-01,Australia,4863.83
ORD100466,2024-01-01,United States,6868.75
ORD100392,2024-01-04,Brazil,4458.65
ORD100111,2024-01-04,Canada,7057.76
ORD100563,2024-01-06,Canada,6805.3
ORD100196,2024-01-06,Japan,9041.32
ORD100486,2024-01-10,Australia,5750.45
ORD100333,2024-01-11,United Arab Emirates,7358.71
ORD100097,2024-01-13,France,4120.29
ORD100432,2024-01-15,Japan,3857.82
ORD100356,2024-01-15,United Kingdom,5290.36
ORD100427,2024-01-19,France,5664.9
ORD100390,2024-01-20,Germany,6093.15
ORD100368,2024-01-21,Japan,5848.85
ORD100417,2024-01-23,Brazil,6284.89
ORD100218,2024-01-23,Canada,5683.36
ORD100186,2024-01-24,France,6292.7
ORD100141,2024-01-25,United Arab Emirates,9408.81
ORD100448,2024-01-26,Brazil,6084.95
ORD100187,2024-01-29,Australia,7345.99
ORD100561,2024-01-29,Canada,6284.7
ORD100193,2024-01-30,United States,8271.86
ORD100505,2024-02-04,Brazil,6107.89
ORD100134,2024-02-06,Brazil,4180.03
ORD100332,2024-02-08,Australia,6811.68
ORD100551,2024-02-09,United Arab Emirates,7376.09
ORD100429,2024-02-13,Japan,5921.64
ORD100240,2024-02-14,Germany,5347.13
ORD100286,2024-02-16,France,5783.48
ORD100374,2024-02-16,India,4201.5
ORD100035,2024-02-17,Australia,6177.07
ORD100222,2024-02-19,India,4066.67
ORD100404,2024-02-20,Germany,5099.51
ORD100180,2024-02-20,United States,8159.29
ORD100473,2024-02-22,Canada,2840.42
ORD100531,2024-02-24,United States,9509.36
ORD100331,2024-02-25,Germany,4805.87
ORD100188,2024-02-27,Japan,7242.43
ORD100422,2024-03-02,United Kingdom,6741.45
ORD100573,2024-03-04,Brazil,4266.99
ORD100489,2024-03-06,India,3823.28
ORD100015,2024-03-07,France,4639.7
ORD100391,2024-03-07,United Kingdom,6008.86
ORD100125,2024-03-07,United States,5998.12
ORD100415,2024-03-08,Brazil,6300.1
ORD100556,2024-03-08,India,5241.19
ORD100204,2024-03-10,Germany,6081.71
ORD100289,2024-03-10,Germany,7982.77
ORD100061,2024-03-10,India,4927.06
ORD100255,2024-03-10,India,5307.71
ORD100393,2024-03-13,United Arab Emirates,6312.64
ORD100588,2024-03-13,United Arab Emirates,7146.11
ORD100114,2024-03-13,United States,7445.29
ORD100012,2024-03-14,Germany,7395.41
ORD100565,2024-03-16,United States,8560.62
ORD100309,2024-03-17,Canada,4076.47
ORD100132,2024-03-19,Canada,5331.89
ORD100253,2024-03-20,Japan,8003.14
ORD100590,2024-04-06,Canada,4657.62
ORD100413,2024-04-08,Germany,7327.61
ORD100386,2024-04-09,Australia,7494.31
ORD100394,2024-04-09,Australia,7898.23
ORD100569,2024-04-10,Japan,4580.12
ORD100143,2024-04-14,India,3838.67
ORD100211,2024-04-17,France,3909.13
ORD100077,2024-04-17,India,7280.98
ORD100317,2024-04-21,India,4492.99
ORD100395,2024-04-28,United Arab Emirates,6999.63
ORD100347,2024-04-28,United States,8871.06
ORD100371,2024-05-01,Canada,5766.8
ORD100350,2024-05-03,France,2891.71
ORD100335,2024-05-06,France,3586.28
ORD100185,2024-05-11,Australia,8652.81
ORD100567,2024-05-11,Japan,5401.95
ORD100547,2024-05-11,United States,7949.52
ORD100387,2024-05-12,Japan,6343.86
ORD100149,2024-05-13,Australia,6450.45
ORD100108,2024-05-16,United States,7276.11
ORD100476,2024-05-17,Australia,4268.75
ORD100126,2024-05-20,United Arab Emirates,7489.59
ORD100459,2024-05-22,France,5280.72
ORD100145,2024-05-22,Japan,9162.34
ORD100244,2024-05-28,United Arab Emirates,6539.26
ORD100482,2024-05-29,United States,8082.65
ORD100150,2024-06-02,Canada,5942.6
ORD100322,2024-06-04,United Arab Emirates,6201.06
ORD100081,2024-06-05,India,7602.1
ORD100092,2024-06-07,Brazil,5859.31
ORD100421,2024-06-08,Canada,5561.31
ORD100382,2024-06-13,United Kingdom,6932.4
ORD100178,2024-06-14,United Kingdom,6535.02
ORD100243,2024-06-15,Japan,7934.27
ORD100262,2024-06-17,United Kingdom,3672.07
ORD100069,2024-06-19,Japan,7450.6
ORD100267,2024-06-22,Canada,7998.14
ORD100406,2024-06-22,United States,7562.2
ORD100053,2024-06-25,Canada,4257.16
ORD100260,2024-06-26,Japan,5453.37
ORD100202,2024-06-29,Brazil,5658.83
ORD100496,2024-07-01,India,5573.73
ORD100308,2024-07-03,Australia,6639.11
ORD100428,2024-07-04,Germany,8000.97
ORD100502,2024-07-05,United Arab Emirates,9975.22
ORD100189,2024-07-06,United Kingdom,6266.32
ORD100017,2024-07-07,India,5192.95
ORD100275,2024-07-08,Canada,5079.5
ORD100310,2024-07-12,Japan,8059.33
ORD100434,2024-07-14,India,5103.89
ORD100146,2024-07-14,United Kingdom,6042.77
ORD100318,2024-07-15,Japan,5209.96
ORD100485,2024-07-15,Japan,6341.41
ORD100532,2024-07-15,United States,7786.81
ORD100585,2024-07-16,United Kingdom,4840.03
ORD100463,2024-07-17,India,3350.01
ORD100229,2024-07-18,Germany,4787.75
ORD100164,2024-07-19,Australia,7830.74
ORD100490,2024-07-19,Japan,6078.92
ORD100006,2024-07-20,United States,8100.89
ORD100190,2024-07-22,United States,9386.42
ORD100238,2024-07-25,Germany,6257.55
ORD100213,2024-07-27,Germany,6219.92
ORD100117,2024-07-28,United Arab Emirates,8587.36
ORD100264,2024-07-28,United States,6584.54
